                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8686,                 2.1563,                 1.6147,                 0.9173,                0.83841,                0.93676,                0.50367,                 1.4277,                 1.3654,                  1.412,               0.070107,              0.0033215,              0.0033215
                      1,                 1.5641,                 1.4261,                 1.4479,                0.92493,                0.93909,                0.96511,                0.55073,                 1.3621,                 1.1122,                  1.359,               0.040074,              0.0066219,              0.0066219
                      2,                 1.5601,                 1.3302,                 1.4808,                 0.8576,                0.84451,                0.90734,                0.47967,                 1.3976,                 1.2118,                 1.4077,               0.010008,              0.0098893,              0.0098893
                      3,                 1.5185,                 1.2394,                 1.4612,                0.88553,                 0.8811,                0.93988,                0.52127,                 1.3614,                 1.0903,                 1.4274,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.4933,                 1.1845,                 1.4584,                0.91652,                0.89329,                0.95565,                0.57109,                 1.3165,                 1.0228,                 1.4111,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4648,                 1.1151,                  1.452,                0.93369,                0.90146,                0.96591,                0.62193,                 1.2582,                0.92807,                  1.347,               0.009802,               0.009802,               0.009802
                      6,                 1.4358,                 1.0562,                 1.4263,                0.96105,                0.97795,                0.99152,                0.69225,                 1.0905,                0.69389,                 1.2394,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4127,                0.99623,                 1.4233,                 0.9643,                0.98828,                0.98561,                0.68759,                 1.1177,                0.72087,                 1.2668,               0.009703,               0.009703,               0.009703
                      8,                 1.3993,                0.98384,                 1.4232,                0.97943,                0.97256,                0.98893,                0.66337,                 1.1546,                0.68798,                 1.2911,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.3553,                0.92931,                 1.3835,                0.97562,                0.97601,                0.99208,                0.68106,                 1.1431,                0.63639,                  1.289,               0.009604,               0.009604,               0.009604
                     10,                 1.3462,                0.88532,                 1.3769,                0.97844,                0.96869,                0.99339,                0.66293,                 1.1837,                0.66357,                 1.3316,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3105,                0.86228,                 1.3605,                 0.9732,                0.99623,                0.99411,                0.71485,                 1.0228,                0.55993,                 1.2078,               0.009505,               0.009505,               0.009505
                     12,                 1.2733,                0.84073,                 1.3372,                0.99691,                0.98416,                0.99452,                0.70657,                 1.0148,                0.56771,                 1.2103,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2745,                0.82267,                 1.3359,                0.98793,                0.99822,                0.99466,                0.70921,                 1.0386,                0.54281,                 1.2125,               0.009406,               0.009406,               0.009406
                     14,                 1.2395,                0.78369,                 1.3145,                0.98585,                0.99085,                0.99479,                 0.7265,                0.98448,                 0.5015,                 1.1931,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2323,                0.76896,                 1.3128,                0.98731,                 0.9939,                0.99482,                 0.7199,                  1.013,                 0.5169,                 1.2095,               0.009307,               0.009307,               0.009307
                     16,                 1.2096,                0.75614,                 1.2955,                0.98686,                 0.9878,                0.99476,                0.73207,                0.96893,                0.51315,                 1.1931,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1783,                0.71832,                 1.2701,                0.99671,                 0.9939,                0.99485,                0.76277,                0.89912,                0.45873,                 1.1325,               0.009208,               0.009208,               0.009208
                     18,                   1.15,                0.71134,                 1.2677,                0.98198,                0.99665,                0.99479,                0.76453,                0.87945,                 0.4591,                 1.1248,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1467,                0.70659,                  1.265,                0.99337,                 0.9878,                0.99488,                0.76237,                0.87493,                0.45012,                 1.1138,               0.009109,               0.009109,               0.009109
                     20,                 1.1587,                0.69653,                 1.2676,                0.99229,                0.99695,                0.99488,                  0.768,                0.85412,                0.45743,                 1.1032,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1173,                0.68562,                 1.2421,                0.98912,                0.99695,                0.99494,                0.76969,                 0.8948,                0.44329,                 1.1463,                0.00901,                0.00901,                0.00901
