                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96827,                 0.5719,                 1.1576,                0.99695,                0.99502,                  0.995,                0.83232,                0.69059,                0.35732,                 1.0031,               0.006634,               0.006634,               0.006634
                     36,                0.95396,                0.57013,                 1.1491,                0.99961,                 0.9939,                  0.995,                0.84019,                0.67047,                0.34455,                 1.0017,               0.006535,               0.006535,               0.006535
                     37,                0.94368,                 0.5647,                 1.1406,                0.99386,                0.99695,                0.99485,                0.81986,                0.74952,                 0.3694,                 1.0394,               0.006436,               0.006436,               0.006436
                     38,                0.91127,                0.55309,                 1.1326,                0.99937,                0.99695,                  0.995,                0.84908,                 0.6501,                0.33327,                0.99498,               0.006337,               0.006337,               0.006337
                     39,                0.92373,                0.55259,                 1.1341,                0.99676,                0.99695,                0.99494,                0.84429,                0.66184,                0.34807,                0.99578,               0.006238,               0.006238,               0.006238
                     40,                0.93263,                0.55732,                 1.1281,                      1,                0.99863,                  0.995,                0.84421,                 0.6613,                0.33949,                 0.9944,               0.006139,               0.006139,               0.006139
                     41,                0.90992,                0.54151,                 1.1205,                0.99842,                      1,                  0.995,                0.84443,                 0.6554,                0.33881,                0.98603,                0.00604,                0.00604,                0.00604
                     42,                0.91097,                0.54138,                  1.125,                      1,                0.99941,                  0.995,                 0.8486,                0.65175,                0.33933,                0.97607,               0.005941,               0.005941,               0.005941
                     43,                0.89047,                0.53334,                 1.1033,                0.99899,                0.99695,                  0.995,                0.85268,                0.62675,                0.32529,                0.97323,               0.005842,               0.005842,               0.005842
                     44,                0.88251,                0.52538,                  1.108,                0.99392,                0.99619,                0.99494,                0.84838,                0.64952,                0.33131,                0.98131,               0.005743,               0.005743,               0.005743
                     45,                0.86434,                0.52546,                 1.0947,                0.99392,                 0.9969,                  0.995,                0.83774,                0.67069,                0.33351,                0.98827,               0.005644,               0.005644,               0.005644
                     46,                0.86749,                0.51965,                 1.0948,                0.99983,                      1,                  0.995,                0.85707,                0.60666,                  0.321,                0.94958,               0.005545,               0.005545,               0.005545
                     47,                0.86861,                  0.509,                 1.0844,                0.99958,                      1,                  0.995,                0.86427,                0.59517,                0.30887,                0.95031,               0.005446,               0.005446,               0.005446
                     48,                0.86092,                0.51025,                 1.0953,                0.99914,                0.99695,                  0.995,                0.86088,                0.61603,                  0.313,                0.96934,               0.005347,               0.005347,               0.005347
                     49,                0.84448,                0.50538,                 1.0896,                0.99658,                      1,                  0.995,                0.85898,                0.60625,                0.30516,                0.95632,               0.005248,               0.005248,               0.005248
                     50,                0.85087,                0.51778,                 1.0868,                0.99809,                      1,                  0.995,                0.85053,                0.61271,                0.31338,                0.96554,               0.005149,               0.005149,               0.005149
                     51,                0.82692,                0.48997,                 1.0824,                0.99954,                      1,                  0.995,                0.86344,                0.60911,                  0.307,                0.96194,                0.00505,                0.00505,                0.00505
                     52,                0.83017,                 0.5024,                 1.0809,                0.99962,                      1,                  0.995,                0.86782,                  0.588,                0.30509,                0.95833,               0.004951,               0.004951,               0.004951
                     53,                0.82237,                0.49695,                 1.0736,                      1,                0.99966,                  0.995,                0.87129,                0.59107,                0.30074,                0.96324,               0.004852,               0.004852,               0.004852
                     54,                0.83102,                0.49896,                 1.0902,                0.99926,                      1,                  0.995,                0.86862,                0.57511,                 0.3005,                0.94723,               0.004753,               0.004753,               0.004753
                     55,                 0.8134,                0.48222,                 1.0678,                      1,                0.99964,                  0.995,                0.87055,                0.58637,                0.30443,                0.94034,               0.004654,               0.004654,               0.004654
                     56,                  0.811,                0.48669,                 1.0658,                0.99665,                      1,                0.99494,                0.87573,                0.55909,                0.29738,                0.93392,               0.004555,               0.004555,               0.004555
                     57,                0.80332,                0.47821,                 1.0658,                0.99964,                      1,                  0.995,                0.86872,                0.60203,                0.30418,                0.95117,               0.004456,               0.004456,               0.004456
                     58,                0.80314,                0.47913,                  1.064,                0.99688,                      1,                  0.995,                0.88053,                0.55445,                0.28517,                0.93593,               0.004357,               0.004357,               0.004357
                     59,                0.77978,                0.46789,                 1.0432,                0.99945,                      1,                  0.995,                0.87682,                0.54582,                0.28893,                0.92905,               0.004258,               0.004258,               0.004258
                     60,                0.78793,                0.47085,                 1.0598,                0.99968,                      1,                  0.995,                0.88176,                0.55907,                0.28544,                0.93257,               0.004159,               0.004159,               0.004159
                     61,                0.76192,                 0.4596,                 1.0475,                0.99982,                      1,                  0.995,                0.87338,                0.58158,                0.28408,                0.94636,                0.00406,                0.00406,                0.00406
                     62,                 0.7791,                0.46307,                 1.0513,                0.99964,                      1,                  0.995,                0.87575,                0.57477,                0.28992,                0.94358,               0.003961,               0.003961,               0.003961
                     63,                0.78409,                0.47406,                 1.0533,                0.99925,                      1,                  0.995,                0.88391,                0.54383,                0.28181,                0.92873,               0.003862,               0.003862,               0.003862
                     64,                0.75301,                0.45179,                 1.0395,                0.99963,                      1,                  0.995,                0.88337,                0.51487,                0.27544,                0.91915,               0.003763,               0.003763,               0.003763
                     65,                0.76157,                0.45669,                 1.0412,                0.99961,                      1,                  0.995,                0.87768,                0.53079,                0.27639,                0.93136,               0.003664,               0.003664,               0.003664
                     66,                0.74901,                0.45768,                 1.0429,                0.99963,                      1,                  0.995,                0.88944,                0.52312,                0.27653,                0.92515,               0.003565,               0.003565,               0.003565
                     67,                0.74075,                0.44685,                 1.0405,                 0.9997,                      1,                  0.995,                0.87949,                0.54316,                0.27565,                0.93459,               0.003466,               0.003466,               0.003466
