                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.899,                 2.8574,                  1.808,                   0.01,                      1,                0.51597,                0.26059,                 1.0388,                 2.8406,                 1.0731,                  0.073,                  0.003,                  0.003
                      1,                 1.5845,                 2.6402,                 1.5291,                   0.01,                      1,                0.65123,                0.31182,                 1.1722,                 2.7321,                 1.1311,                0.04504,              0.0060396,              0.0060396
                      2,                 1.6333,                 2.3086,                 1.4876,                 0.8511,                 0.6352,                0.79105,                0.38623,                 1.4276,                 2.0584,                 1.1868,               0.017018,              0.0090178,              0.0090178
                      3,                  1.643,                 1.9012,                 1.4371,                0.96663,                0.80474,                0.90717,                0.46271,                 1.6202,                 1.4343,                  1.322,               0.009703,               0.009703,               0.009703
                      4,                 1.5882,                 1.8102,                 1.4553,                 0.5712,                0.83333,                0.72804,                0.39042,                 1.4522,                 1.7961,                 1.3377,               0.009703,               0.009703,               0.009703
                      5,                 1.5757,                 1.8444,                 1.4609,                0.65878,                0.52778,                0.58516,                0.25813,                 1.4313,                 2.0185,                  1.449,               0.009604,               0.009604,               0.009604
                      6,                 1.5257,                 1.8637,                 1.4653,                0.55695,                0.72222,                0.65463,                0.27263,                 1.5692,                 2.1057,                  1.478,               0.009505,               0.009505,               0.009505
                      7,                 1.4403,                 1.6685,                 1.4534,                0.83413,                   0.75,                0.81983,                0.38329,                 1.4993,                 1.7656,                 1.4194,               0.009406,               0.009406,               0.009406
                      8,                 1.3874,                 1.5849,                 1.3772,                0.64797,                0.76709,                0.80558,                0.33443,                  1.668,                 1.7872,                 1.5008,               0.009307,               0.009307,               0.009307
                      9,                 1.4193,                 1.5938,                 1.4315,                0.77011,                0.83333,                0.84871,                0.37647,                 1.6451,                 1.5906,                 1.5468,               0.009208,               0.009208,               0.009208
                     10,                 1.4519,                 1.5663,                 1.4224,                0.83922,                0.80556,                 0.8081,                0.25069,                 1.9695,                 1.6079,                 1.6702,               0.009109,               0.009109,               0.009109
                     11,                 1.5398,                 1.7009,                 1.4923,                0.90083,                0.63889,                0.81414,                0.40879,                 1.5431,                 1.8379,                 1.5374,                0.00901,                0.00901,                0.00901
                     12,                 1.4889,                 1.6359,                 1.4658,                0.60038,                   0.75,                0.69604,                0.27514,                 1.6256,                 1.9475,                 1.4818,               0.008911,               0.008911,               0.008911
                     13,                 1.4916,                   1.64,                 1.4907,                0.42989,                0.77503,                0.48136,                0.22023,                 1.7138,                 1.8295,                  1.497,               0.008812,               0.008812,               0.008812
                     14,                 1.5025,                 1.6209,                 1.4921,                0.73005,                0.82648,                0.80534,                0.41802,                 1.4861,                 1.3982,                 1.4167,               0.008713,               0.008713,               0.008713
                     15,                 1.4398,                 1.5217,                 1.4238,                 0.7658,                0.86111,                 0.8786,                0.41444,                 1.5575,                 1.3332,                 1.5026,               0.008614,               0.008614,               0.008614
                     16,                 1.4609,                 1.5145,                 1.4602,                0.90796,                   0.75,                0.85639,                0.40718,                 1.5162,                 1.3618,                 1.3842,               0.008515,               0.008515,               0.008515
                     17,                 1.4985,                 1.5216,                 1.4806,                0.89968,                0.74746,                0.81705,                0.32167,                  1.826,                 1.3701,                 1.5599,               0.008416,               0.008416,               0.008416
                     18,                 1.4443,                 1.4227,                 1.4015,                0.77875,                0.77778,                0.86541,                 0.4105,                  1.572,                 1.4019,                 1.4388,               0.008317,               0.008317,               0.008317
                     19,                 1.4011,                 1.3972,                 1.4031,                0.77394,                0.80556,                0.84171,                 0.3811,                 1.5614,                 1.4114,                 1.4745,               0.008218,               0.008218,               0.008218
                     20,                 1.4165,                 1.3804,                 1.4083,                0.81296,                0.69444,                0.81754,                0.47249,                 1.3846,                 1.4657,                 1.4404,               0.008119,               0.008119,               0.008119
                     21,                 1.3981,                  1.309,                 1.4025,                0.81396,                0.80556,                 0.8189,                0.32807,                 1.8123,                 1.3904,                   1.57,                0.00802,                0.00802,                0.00802
                     22,                 1.4236,                 1.4311,                 1.4487,                0.87004,                0.77778,                0.86396,                0.40049,                 1.6296,                 1.3872,                 1.4855,               0.007921,               0.007921,               0.007921
                     23,                 1.4248,                  1.332,                 1.4116,                0.94192,                   0.75,                0.87304,                0.42399,                 1.5179,                 1.3138,                 1.4299,               0.007822,               0.007822,               0.007822
                     24,                 1.3953,                 1.2541,                 1.3902,                0.80472,                0.91574,                0.91174,                0.42818,                 1.6732,                  1.211,                 1.4808,               0.007723,               0.007723,               0.007723
