                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0915,                 2.7458,                 2.0714,                0.64672,                0.61111,                0.75157,                 0.5196,                 1.0616,                 1.5291,                 1.2745,                  0.073,                  0.003,                  0.003
                      1,                 1.7495,                 1.6847,                 1.7547,                0.64399,                   0.75,                0.71474,                0.42695,                 1.2668,                 1.2484,                 1.3699,                0.04504,              0.0060396,              0.0060396
                      2,                 1.6974,                 1.8186,                  1.638,                0.56544,                0.77778,                0.66935,                0.37808,                 1.3524,                 1.6288,                 1.3855,               0.017018,              0.0090178,              0.0090178
                      3,                 1.4996,                 2.5428,                 1.5166,                 0.7955,                0.72222,                0.83315,                0.39084,                  1.696,                 1.2521,                 1.3822,               0.009703,               0.009703,               0.009703
                      4,                 1.6385,                 1.4078,                 1.4807,                0.54871,                0.77682,                0.65274,                0.32914,                 1.7429,                 1.6532,                 1.4094,               0.009703,               0.009703,               0.009703
                      5,                 1.5001,                 1.4813,                 1.4379,                0.73995,                0.83333,                0.79039,                 0.4422,                  1.541,                 1.3433,                 1.4618,               0.009604,               0.009604,               0.009604
                      6,                 1.5022,                 1.3244,                  1.493,                0.90182,                0.88889,                0.91957,                0.45289,                 1.6261,                0.90216,                 1.3343,               0.009505,               0.009505,               0.009505
                      7,                 1.4108,                 1.2109,                 1.5053,                0.81004,                   0.75,                0.79886,                0.41035,                 1.5536,                  0.999,                 1.3803,               0.009406,               0.009406,               0.009406
                      8,                 1.3699,                 1.0336,                  1.413,                 0.7946,                0.88889,                0.89993,                0.52968,                 1.3832,                0.74462,                  1.255,               0.009307,               0.009307,               0.009307
                      9,                 1.3731,                0.98647,                 1.3992,                 0.8439,                0.90121,                 0.9422,                0.48017,                  1.543,                0.81267,                 1.2996,               0.009208,               0.009208,               0.009208
                     10,                 1.3365,                 0.9511,                 1.3604,                0.91613,                0.86111,                0.94197,                0.55536,                  1.396,                0.77516,                 1.2777,               0.009109,               0.009109,               0.009109
                     11,                 1.3712,                0.92861,                 1.3925,                0.66392,                   0.75,                0.70605,                0.35657,                 1.6751,                 1.3564,                  1.495,                0.00901,                0.00901,                0.00901
                     12,                 1.4295,                 1.0441,                 1.4303,                0.93251,                0.80556,                0.83997,                0.38002,                 1.8198,                  0.975,                 1.5639,               0.008911,               0.008911,               0.008911
                     13,                 1.3661,                0.96483,                 1.3978,                0.88348,                0.84263,                 0.9211,                  0.479,                 1.5063,                0.89279,                 1.3149,               0.008812,               0.008812,               0.008812
