                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.201,                 1.0583,                  1.384,                0.73978,                0.72076,                0.75085,                 0.3688,                 1.8487,                 1.2037,                 1.7711,               0.006733,               0.006733,               0.006733
                     35,                 1.2103,                 1.0413,                 1.3663,                0.82639,                0.72765,                0.79136,                0.36582,                 1.8859,                 1.1844,                 1.7686,               0.006634,               0.006634,               0.006634
                     36,                 1.1671,                 1.0282,                 1.3493,                0.67071,                0.71548,                0.71395,                0.36774,                 1.7271,                 1.2181,                 1.7269,               0.006535,               0.006535,               0.006535
                     37,                 1.1781,                 1.0718,                 1.3893,                0.74764,                0.63048,                0.68168,                0.30752,                 1.9847,                 1.3636,                  1.938,               0.006436,               0.006436,               0.006436
                     38,                 1.1709,                 1.0005,                 1.3417,                0.69319,                0.73134,                0.72498,                0.35826,                 1.8729,                 1.2394,                 1.8434,               0.006337,               0.006337,               0.006337
                     39,                 1.1553,                0.98586,                 1.3307,                0.79794,                0.70116,                0.76681,                 0.3627,                  1.859,                 1.1603,                 1.7985,               0.006238,               0.006238,               0.006238
                     40,                 1.1175,                 0.9622,                  1.314,                0.80078,                0.68659,                0.72087,                0.36398,                 1.7769,                 1.1405,                 1.7671,               0.006139,               0.006139,               0.006139
                     41,                 1.1407,                0.96111,                 1.3244,                0.78116,                0.62696,                0.75087,                0.35752,                 1.7962,                 1.1405,                  1.751,                0.00604,                0.00604,                0.00604
                     42,                 1.1499,                0.98093,                 1.3254,                0.83694,                0.62829,                0.73411,                0.37023,                 1.7833,                 1.1681,                 1.7392,               0.005941,               0.005941,               0.005941
                     43,                 1.1331,                0.97527,                 1.3236,                0.78431,                0.74087,                0.73386,                0.33921,                  1.918,                 1.1894,                 1.8235,               0.005842,               0.005842,               0.005842
                     44,                 1.1163,                0.95719,                 1.3236,                0.72452,                0.72309,                 0.7608,                0.36539,                  1.892,                 1.1682,                 1.7961,               0.005743,               0.005743,               0.005743
                     45,                 1.1287,                0.94935,                 1.3227,                0.74721,                0.78175,                0.81706,                0.40613,                 1.6661,                 1.1034,                 1.6181,               0.005644,               0.005644,               0.005644
                     46,                 1.1086,                 0.9259,                  1.295,                0.75259,                0.76721,                 0.8088,                 0.4038,                 1.7361,                 1.1572,                 1.6861,               0.005545,               0.005545,               0.005545
                     47,                 1.0967,                0.92301,                 1.3011,                0.81709,                0.84001,                0.83803,                0.39982,                 1.8294,                 1.1152,                 1.7528,               0.005446,               0.005446,               0.005446
